Código_Grupo;Disco;NombreCancion;DuraciónMin;DuraciónSeg
1;Redención;Años muertos con Shabu y Trizia;3;46
1;Redención;Los Funkcionarios (feat. Andreas Lutz);3;43
1;Redención;La Culpa de Mi;4;11
1;Redención;Cara B (feat. Beret);4;23
1;Redención;Twitter (feat. Shabu & Legendario);3;46
1;Redención;Creador (feat. Raimundo Amador);3;20
1;Redención;Me Queo en Mi Casa;4;42
1;Redención;Lucifer;3;36
1;Redención;Contradicciones;4;10
1;Redención;La Amalgama (feat. Rubio de Pruna);5;23
1;Redención;Siguiendo el Curso (feat. Movimiento Original);4;21
1;Redención;Ventanas y Terrazas;3;54
1;Redención;Agua Pasá (feat. Kaze);2;59
1;Redención;El Ornitólogo (feat. Vicky Luna);4;35
1;Redención;Etéreo;5;34
1;Redención;Ovarios y Pelotas;4;41
1;Redención;Resistiendo por Ti (feat. Manuel Martínez);4;23
1;Sin miedo a vivir;Personal trainer;3;34
1;Sin miedo a vivir;Sin miedo a vivir;3;13
1;Sin miedo a vivir;Lo intenté;3;16
1;Sin miedo a vivir;Bajo el mismo sol (feat. Little Pepe);3;46
1;Sin miedo a vivir;Cantando bajo la vida (feat. Green Valley);3;59
1;Sin miedo a vivir;Manos en el aire (feat Shabu & Mala Juntera);4;12
1;Sin miedo a vivir;Despacito pero voy;4;47
1;Sin miedo a vivir;Todo lo que importa (feat. Fyahbwoy);4;12
1;Sin miedo a vivir;Latidos;3;13
1;Sin miedo a vivir;Si el rap fuera un juego;4;54
1;Sin miedo a vivir;Niños especiales;3;47
1;Sin miedo a vivir;Apología del llanto (feat. Juaninacka);3;59
1;Sin miedo a vivir;Ella (feat. Alberto Gambino);4;34
1;Sin miedo a vivir;La puñalá;3;47
1;Sin miedo a vivir;Agradecimiento;5;23
1;Sin miedo a vivir;Bonus track - El viaje (feat. Kriss);5;53
1;Sin miedo a vivir;Bonus track - Orgullo banderillero;4;29
2;Cable a Tierra;Puñalada Trapera;3;34
2;Cable a Tierra;La Virgen de La Humanidad;3;10
2;Cable a Tierra;No Seré Yo;4;31
2;Cable a Tierra;El Imperio del Sol;2;58
2;Cable a Tierra;Corazón de Lava;4;17
2;Cable a Tierra;La Diana;2;46
2;Cable a Tierra;Palabra es lo Único que Tengo;3;15
2;Cable a Tierra;Si Te Quiebras;3;39
2;Cable a Tierra;Finisterre;3;16
2;Cable a Tierra;Al Final de la Escapada;3;54
2;Mismo sitio, distinto lugar;Deséame suerte;3;49
2;Mismo sitio, distinto lugar;El discurso del rey;3;42
2;Mismo sitio, distinto lugar;Palmeras en La Mancha;3;37
2;Mismo sitio, distinto lugar;Consejo de sabios;5;18
2;Mismo sitio, distinto lugar;23 de junio;3;27
2;Mismo sitio, distinto lugar;Guerra Civil;3;35
2;Mismo sitio, distinto lugar;Te lo digo a ti;2;27
2;Mismo sitio, distinto lugar;Punto sin retorno;4;40
2;Mismo sitio, distinto lugar;La vieja escuela;4;13
2;Mismo sitio, distinto lugar;Mismo sitio, distinto lugar;3;41
2;La deriva;La deriva;3;40
2;La deriva;Golpe maestro;3;50
2;La deriva;La mosca en tu pared;3;45
2;La deriva;Fuego;4;11
2;La deriva;Fiesta mayor;3;37
2;La deriva;¡Alto!;3;15
2;La deriva;La grieta;3;47
2;La deriva;Pirómanos;3;41
2;La deriva;Las salas de espera;3;42
2;La deriva;Cuarteles de invierno;3;57
2;La deriva;Tour de Francia;4;17
2;La deriva;Una sonata fantasma;3;51
3;Fuego;Atrapado;3;52
3;Fuego;Fuego;3;39
3;Fuego;Corazón sin salida;3;14
3;Fuego;Camiseta de Rokanrol;3;52
3;Fuego;Despertar;3;13
3;Fuego;Pobre siri;3;13
3;Fuego;La rueda de la fortuna;3;28
3;Fuego;Yo no estoy loco;4;21
3;Fuego;El último renglón;3;45
3;Fuego;Escrita en la frente;4;15
3;Fuego;La serpiente y la luna;2;55
3;Fuego;Los globos;3;10
3;Rumba a lo desconocido;Nadie sabe;4;11
3;Rumba a lo desconocido;Pastillas para dormir;3;17
3;Rumba a lo desconocido;Estatua de sal;3;23
3;Rumba a lo desconocido;Ando buscando;4;41
3;Rumba a lo desconocido;Gafas de rosa;3;12
3;Rumba a lo desconocido;Con el viento;4;21
3;Rumba a lo desconocido;Se me olvida la vida;3;42
3;Rumba a lo desconocido;Donde va mi alma;4;12
3;Rumba a lo desconocido;Mundo marrón;3;38
3;Rumba a lo desconocido;Corona de espinas;3;10
3;Rumba a lo desconocido;Tonto;3;11
3;Rumba a lo desconocido;Sin sombrero;2;35
3;Estopa 2.0;Mañanitas 2.0;4;13
3;Estopa 2.0;Vacilón;3;36
3;Estopa 2.0;Me quedaré;3;17
3;Estopa 2.0;La primavera;3;20
3;Estopa 2.0;Alma animal;4;12
3;Estopa 2.0;Un rincón de mi mundo;3;31
3;Estopa 2.0;Rumba sin nombre;3;24
3;Estopa 2.0;La bombillita;3;44
3;Estopa 2.0;Estación del olvido;3;10
3;Estopa 2.0;Indecisión o no;2;45
3;Estopa 2.0;Empanados;3;27
3;Estopa 2.0;La locura;3;20
3;Voces de ultratumba;Malabares;3;26
3;Voces de ultratumba;Que suerte la mía;3;29
3;Voces de ultratumba;Vacaciones;3;14
3;Voces de ultratumba;Ninguna parte;3;26
3;Voces de ultratumba;Lunes;3;12
3;Voces de ultratumba;A mí me gusta;3;39
3;Voces de ultratumba;Gulere Gulere;3;27
3;Voces de ultratumba;Monstruos;3;15
3;Voces de ultratumba;No quiero verla más;3;23
3;Voces de ultratumba;Ni pa' ti ni pa' mí;3;57
3;Voces de ultratumba;Fábricas de sueños;3;11
3;Voces de ultratumba;Paseo;3;36
3;Voces de ultratumba;Showtime;3;28
4;Domenica;Sabato;2;10
4;Domenica;Tainted;3;33
4;Domenica;Sabor a Nada;3;33
4;Domenica;La Larga Marcha feat. Chicoes3;3;42
4;Domenica;Crucificado feat. Galinier Dheformer;4;43
4;Domenica;Love U Mamá;3;59
4;Domenica;Wow;3;22
4;Domenica;Suave feat. H.Roto;4;12
4;Domenica;Empíreo;4;12
4;Domenica;Blue Baby Blue;3;22
4;Domenica;Cómo Hemos Cambiado feat. Tutto Vale (La Boheme);4;27
4;Domenica;Triclineo feat. Cheb Rubén;4;31
4;Domenica;Internacional;2;50
4;Domenica;Caja de los Truenos feat. El Hombre Viento;3;14
4;Domenica;Todo para Ti;3;27
4;Domenica;Lunedi;4;58
4;Nada más lejos;Nada más lejos;3;39
4;Nada más lejos;Soprano Files;2;52
4;Nada más lejos;Cartas desde dentro;2;46
4;Nada más lejos;Mierda sticky (feat. Chico Es3);3;23
4;Nada más lejos;Relax;4;19
4;Nada más lejos;Algo de amor;4;24
4;Nada más lejos;Escribas de culto;3;11
4;Nada más lejos;This dude;3;32
4;Nada más lejos;Perdidos (feat. Cheb Rubën);4;12
4;Nada más lejos;Ayer y mañana;3;42
4;Nada más lejos;Por los siglos;2;59
5;Cicatrices;Piratas;4;27
5;Cicatrices;Cicatrices;3;36
5;Cicatrices;Alfa y omega (feat. Denom);3;19
5;Cicatrices;Bicho raro;3;58
5;Cicatrices;Niño de cristal;3;22
5;Cicatrices;Pecados (feat. Recycled J);3;24
5;Cicatrices;Underground Kings;2;42
5;Cicatrices;Generación Perdida;3;32
5;Cicatrices;Ey mama (feat. Recycled J);3;40
5;Cicatrices;Balada (feat. Charlie);3;12
5;Cicatrices;Autodestrucción (feat. Costa);2;36
5;Cicatrices;Caminaré (feat. Maka);4;36
5;Cicatrices;Bestsellers;4;10
5;Martes 13;Problemas;2;27
5;Martes 13;Delirium (feat. Recycled J);3;47
5;Martes 13;Contrabando;2;27
5;Martes 13;Malas noticias;3;15
5;Martes 13;Lip gloss (feat. Recycled J);4;16
5;Martes 13;Camarón;2;13
5;Martes 13;Martes 13 (feat. Chaman);4;45
5;Martes 13;Lágrimas negras;3;25
5;Martes 13;Rocknrollas (feat. Costa);2;40
5;Martes 13;Dreams (feat. Suite Soprano y Stefi);3;55
5;Martes 13;Wild west (feat. Dope D.O.D.);4;24
5;Martes 13;Promiscuidad;3;11
5;Martes 13;A corazón abierto;3;39
5;Caja Negra;Cuentas pendientes;2;48
5;Caja Negra;Morir joven (feat. Ceerre y Lone);4;17
5;Caja Negra;Contar hasta diez (feat. Cool);4;16
5;Caja Negra;Maquiavelo;2;34
5;Caja Negra;Excesos (feat. Doser);4;14
5;Caja Negra;Sabor amargo;2;50
5;Caja Negra;Fuck fame (feat. Cheb Rubën);3;30
5;Caja Negra;Remember;3;42
5;Caja Negra;Sigo vivo;4;30
5;Caja Negra;Qué guapo estás callado;3;11
5;Caja Negra;Recuperando el tiempo perdido (feat. Cool);4;38
5;Catarsis;Pupilas dilatadas;2;19
5;Catarsis;Mal fario (feat. Doser);3;21
5;Catarsis;Strippers (feat. Ramos);2;56
5;Catarsis;Con la música a otro parque (feat. Cool);2;13
5;Catarsis;Interludio - Papel de plata;3;10
5;Catarsis;Loopings;3;41
5;Catarsis;Canallas;4;32
5;Catarsis;Catarsis (feat. Cool);2;12
6;Hogar;Tramontana 7:44 Am;1;23
6;Hogar;Meiuqèr;4;24
6;Hogar;Inercia;3;47
6;Hogar;Fotografías;3;37
6;Hogar;He vuelto;4;18
6;Hogar;El Hombre del Futuro;2;17
6;Hogar;Jóvenes Perfect@s;4;12
6;Hogar;La Mala Educación;4;30
6;Hogar;Telepatía;3;27
6;Hogar;Dobles;4;18
6;Hogar;Hogar;3;48
6;Hogar;Tramontana 5:47 Pm;2;46
6;Autoterapia;Autoterapia;4;37
6;Autoterapia;El Pozo;3;55
6;Autoterapia;Ruido Blanco;3;26
6;Autoterapia;Bill Murray;5;12
6;Autoterapia;Pausa;2;52
6;Autoterapia;Santa Paz;2;43
6;Autoterapia;Canción para Nadie;3;26
6;Autoterapia;La Increíble Historia del Hombre Que Podía Volar Pero No Sabía Como;4;49
6;Autoterapia;El Temblor;4;47
6;Autoterapia;Temas Amables;3;49
6;Autoterapia;Variables;2;23
6;Copacabana;Prólogo;1;28
6;Copacabana;Copacabana;3;10
6;Copacabana;El Baile;4;18
6;Copacabana;Los Seres Que Me Llenan;4;11
6;Copacabana;Oro y Humo;5;12
6;Copacabana;Pequeña Gran Revolución;4;35
6;Copacabana;Historias de Vida y Placer;3;17
6;Copacabana;En Aire y Hueso;4;50
6;Copacabana;La Piedra Invisible;4;45
6;Copacabana;Tambores de Guerra;3;31
6;Copacabana;Hacia el Norte;4;11
6;Copacabana;Arte Moderno;3;55
6;Agujeros de Gusano;Despedida;2;48
6;Agujeros de Gusano;Asuntos Delicados;4;13
6;Agujeros de Gusano;Hambre;3;24
6;Agujeros de Gusano;Pánico Práctico;3;52
6;Agujeros de Gusano;Agujeros de Gusano;4;15
6;Agujeros de Gusano;Palos de Ciego;4;26
6;Agujeros de Gusano;Ockham;3;26
6;Agujeros de Gusano;Jenna Fischer;3;37
6;Agujeros de Gusano;A los Que Volveremos;2;39
6;Agujeros de Gusano;Tóxica;4;11
6;Agujeros de Gusano;Epílogo I: la Duda Razonable;2;31
6;Agujeros de Gusano;Epílogo II: la Caída del Imperio;2;32
6;Agujeros de Gusano;Epílogo III: Resurrección y Venganza;2;53
6;Magia & Efectos Especiales;Prueba y Error;4;19
6;Magia & Efectos Especiales;Magia y Efectos Especiales;3;57
6;Magia & Efectos Especiales;Conclusión en Do para Ukelele;4;30
6;Magia & Efectos Especiales;Extraño Regalo;3;49
6;Magia & Efectos Especiales;28 Horas;4;23
6;Magia & Efectos Especiales;Qué Bien;4;33
6;Magia & Efectos Especiales;La Mujer de Verde;5;14
6;Magia & Efectos Especiales;Tu Continente;3;26
6;Magia & Efectos Especiales;A Nuestros Rincones;4;12
6;Magia & Efectos Especiales;Ajam;4;40
6;Magia & Efectos Especiales;Sueños Lentos, Aviones Veloces;4;23
